Gene,Attribution_Score
IFNAR1,-0.004325012
LY86,-0.0038455469
ISG15,-0.003482847
STAT5A,-0.003402428
NFKB1,-0.0033263694
IFITM2,-0.0032491968
DDX58,-0.003180924
CXCL16,-0.002822678
STAT3,-0.0026785617
PIM2,-0.0026758783
PTGS1,-0.0026448902
RPS6KB1,-0.0025622104
RCAN1,-0.0025169565
TIMP1,-0.002514193
IFI16,-0.002480369
ADA,-0.0024628271
CYCS,-0.0024357208
CCL20,-0.0024315834
REL,-0.0023514666
MITF,-0.0023473923
IL1B,-0.0023345337
TNFRSF1B,-0.0023109864
TGFA,-0.0022973057
ITGA1,-0.0022962561
TNFRSF8,-0.0022955933
DAXX,-0.0022638917
IFITM3,-0.0022469787
FKBP5,-0.0022454238
TGFB2,-0.0022423596
PML,-0.0021485419
